a1,a4,a6,a9,a31,Class
0.0,0,1,0.0,0.0,0
0.0,1,0,0.2955,0.0,0
23.84,3,0,13.438295,0.0,0
0.0,1,0,0.329405,0.0,0
18.32,3,0,101.0,0.0,0
0.0,0,1,0.0,0.0,0
19815.22,14,0,0.00431,0.0,0
6.14,9997,3128,10.0,0.0,0
8521.89,66,0,0.005,0.0,0
23.55,3,0,15.38407,0.0,0
0.0,0,0,0.126419,0.0,0
1.24,3,0,963.86285,0.0,0
32184.54,3,0,0.735,0.0,0
4222.44,3,0,0.049002,0.0,0
157.73,2,0,101.0,0.0,0
26.52,2,0,101.0,0.0,0
0.0,1,0,0.05,0.0,0
161.55,2,0,47.455407,0.0,0
0.0,1,0,0.142549,0.0,0
1.12,3,0,961.770935,0.0,0
34782.5,7,0,0.026084,0.0,0
0.0,1,0,0.062141,0.0,0
3.62,3,0,493.535504,0.0,0
0.0,0,1,0.0,0.0,0
0.0,1,0,0.1094,0.0,0
305.22,5,0,0.039911,0.0,0
1.03,16,0,0.00105,0.0,0
39172.64,2,0,0.002,0.0,0
163.19,2,0,38.253696,0.0,0
29673.5,22,0,0.018,0.0,0
0.0,1,0,6.0,0.0,0
95997.34,8,0,0.205889,0.0,0
570.27,2,0,0.0,0.0,0
8252.81,16,0,0.005,0.0,0
0.0,0,1,0.0,0.0,0
4559.52,73,0,0.035,0.0,0
1.24,3,0,963.80289,0.0,0
5217.07,127,0,0.0,0.0,0
1281.65,128,0,0.005,0.0,0
2.48,4,0,10.77,0.0,0
0.0,0,1,0.0,0.0,0
27805.31,21,0,0.0,0.0,0
1073.76,16,0,0.216334,0.0,0
4.14,2,0,0.057632,0.0,0
24.9,13,0,101.0,0.0,0
0.0,0,1,0.0,0.0,0
160.51,2,0,101.0,0.0,0
57.51,5051,0,0.0,0.0,0
0.0,0,1,0.0,0.0,0
794.29,67,0,2.475,0.0,0
24.04,3,0,27.094987,0.0,0
14354.08,11,0,0.014109,0.0,0
0.0,1,0,0.262575,0.0,0
327.65,29,0,1.99544,0.0,0
110.2,3,0,8.536648,0.0,0
163.32,2,0,101.0,0.0,0
0.0,0,1,0.0,0.0,0
2105.92,237,0,0.0,0.0,0
0.0,1,0,25.398802,0.0,0
158.33,2,0,101.0,0.0,0
163.54,2,0,3.72689,0.0,0
2283.6,60,0,1.0,0.0,0
0.0,1,0,2.080186,0.0,0
972.41,2,0,0.19,0.0,0
0.0,0,1,0.0,0.0,0
14915.69,9,0,0.102255,0.0,0
2.58,81,0,0.2,0.0,0
163.45,2,0,5.846048,0.0,0
7615.41,13,0,0.019812,0.0,0
24.18,3,0,16.547867,0.0,0
12.78,70,0,0.19561,0.0,0
33.22,3,0,101.0,0.0,0
2.63,1098,0,0.09107,0.0,0
1714.67,14,0,0.252935,0.0,0
0.0,1,0,2.0,0.0,0
9789.1,10,0,2.86821,0.0,0
0.0,1,0,22.0,0.0,0
1819.56,401,0,0.0,0.0,0
2.52,3,0,423.243877,0.0,0
0.0,0,1,0.0,0.0,0
0.0,1,0,1.0,0.0,0
23.18,2,0,101.0,0.0,0
15.31,1407,0,0.035119,0.0,0
0.0,0,1,0.0,0.0,0
0.0,1,0,0.112262,0.0,0
19244.67,2,0,7.986694,0.0,0
162.66,2,0,48.516633,0.0,0
22.72,3,0,0.0,0.0,0
155.42,2,0,101.0,0.0,0
36.79,533,0,0.173021,0.0,0
28793.99,32,0,0.01,0.0,0
0.0,0,1,0.0,0.0,0
464.26,14,0,0.083331,0.0,0
132.58,184,0,0.01,0.0,0
108.44,3,0,35.677299,0.0,0
0.0,1,0,0.260166,0.0,0
2754.97,90,0,0.005529,0.0,0
483.31,2,0,0.19,0.0,0
0.0,1,0,0.3,0.0,0
0.0,0,1,0.0,0.0,0
0.0,1,0,3.0,0.0,0
0.0,0,1,0.0,0.0,0
0.0,1,0,0.097559,0.0,0
0.0,1,0,0.031142,0.0,0
358.47,3,0,0.008,0.0,0
0.0,0,1,0.0,0.0,0
2796.41,6,0,0.007,0.0,0
793.95,11,0,0.189432,0.0,0
3092.91,11,0,0.2,0.0,0
29.37,829,0,0.703364,0.0,0
22.79,3,0,101.0,0.0,0
0.0,1,0,0.979624,0.0,0
0.0,0,1,0.0,0.0,0
45.17,513,0,0.010007,0.0,0
0.0,0,1,0.0,0.0,0
4.38,3,0,958.539388,0.0,0
4.8,3,0,510.961039,0.0,0
59.44,408,0,0.01043,0.0,0
158.84,2,0,21.95358,0.0,0
0.0,0,1,0.0,0.0,0
5256.73,40,1,0.008362,0.0,0
1176.07,61,0,0.003,0.0,0
19.72,108,0,0.011009,0.0,0
167023.71,3,0,6.812201,0.0,0
0.0,0,0,0.01,0.0,0
2.45,4,0,2.173855,0.0,0
4560.4,175,0,0.0,0.0,0
13.41,2,0,2.06072,0.0,0
2.22,4,0,1.0,0.0,0
9.83,5,0,0.2,0.0,0
612.46,3,0,0.09,0.0,0
11.09,183,0,0.012163,0.0,0
0.0,1,0,1.1,0.0,0
41.49,370,0,0.044836,0.0,0
1.96,2,0,98.363606,0.0,0
0.0,1,0,0.0,0.0,0
0.0,1,0,0.200021,0.0,0
4700.39,16,0,0.012633,0.0,0
3.97,8,0,0.1,0.0,0
0.0,1,0,5.0,0.0,0
1.89,3,0,0.000528,0.0,0
160.48,2,0,44.357836,0.0,0
6.92,29,0,0.000459,0.0,0
0.0,0,1,0.0,0.0,0
0.0,1,0,1.548853,0.0,0
3.15,68,0,0.010393,0.0,0
7.71,4,0,0.006091,0.0,0
157.46,2,0,101.0,0.0,0
161.17,2,0,13.006381,0.0,0
156.16,85,0,0.029343,0.0,0
25.48,59,0,0.086,0.0,0
19.34,1999,0,0.01,0.0,0
22387.89,4,0,0.1,0.0,0
5464.42,6,0,0.00153,0.0,0
0.0,0,1,0.78424,0.0,0
69.63,2,0,0.006351,0.0,0
310.33,124,0,0.049002,0.0,0
160.84,5,0,0.01,0.0,0
21.77,3,0,101.0,0.0,0
3.02,2,0,0.099,0.0,0
6238.72,53,0,0.112096,0.0,0
1.88,3,0,130.530911,0.0,0
2863.7,39,0,0.004792,0.0,0
0.0,1,0,0.995,0.0,0
9756.62,14,0,2.543258,0.0,0
7.02,121,0,0.055069,0.0,0
12370.51,10,0,0.09,0.0,0
0.0,0,1,0.0,0.0,0
0.0,0,1,0.0,0.0,0
37703.86,25,0,0.0002,0.0,0
0.0,1,0,1.999564,0.0,0
0.0,0,1,0.0,0.0,0
2.07,4,0,636.296978,0.0,0
21759.82,2,0,0.245,0.0,0
0.0,0,1,0.0,0.0,0
0.0,0,0,35.0,0.0,0
155.1,2,0,101.0,0.0,0
7575.4,14,0,0.004,0.0,0
905.51,64,0,0.007,0.0,0
2385.79,12,0,0.05835,0.0,0
20.17,3,0,12.690172,0.0,0
6.53,6,0,0.989,0.0,0
901.61,81,0,0.00025,0.0,0
247.72,8,0,0.012428,0.0,0
14.23,681,0,0.012992,0.0,0
0.0,1,0,0.311935,0.0,0
0.0,0,1,0.0,0.0,0
157.73,2,0,101.0,0.0,0
25.94,3,0,48.458285,0.0,0
16.69,187,0,1.000003,0.0,0
5.95,139,0,1.094,0.0,0
0.0,0,1,0.0,0.0,0
148.18,107,0,0.103468,0.0,0
161.23,2,0,50.364505,0.0,0
12.48,4,0,9.781,0.0,0
24.66,180,0,0.098572,0.0,0
160.7,2,0,39.560601,0.0,0
23.89,3,0,101.0,0.0,0
0.0,0,1,0.0,0.0,0
61.91,412,0,0.01001,0.0,0
1.85,4,0,963.090745,0.0,0
15881.91,11,0,0.001308,0.0,0
263.85,53,0,0.02,0.0,0
21.2,3,0,8.533477,0.0,0
87627.86,3,0,0.99,0.0,0
20512.33,8,0,0.02,0.0,0
0.0,1,0,1.8,0.0,0
160.96,2,0,5.633121,0.0,0
24.05,3,0,101.0,0.0,0
40460.94,13,0,0.094139,0.0,0
0.0,1,0,5.0,0.0,0
2.55,7,0,0.499,0.0,0
0.0,0,1,0.0,0.0,0
0.0,0,1,0.0,0.0,0
0.0,0,1,0.0,0.0,0
29260.33,2,0,0.6,0.0,0
119077.75,3,0,0.040008,0.0,0
0.0,1,0,0.1,0.0,0
23.86,3,0,11.03166,0.0,0
1458.13,53,0,0.002018,0.0,0
491.31,46,0,0.000583,0.0,0
0.0,0,1,0.0239,0.0,0
2.0,4,0,0.99,0.0,0
0.0,0,1,0.0,0.0,0
0.0,1,0,1.792785,0.0,0
2941.85,75,0,0.0085,0.0,0
5716.41,35,0,0.002,0.0,0
22.14,3,0,101.0,0.0,0
0.0,0,1,0.0,0.0,0
3387.8,6,0,0.0,0.0,0
23.23,3,0,101.0,0.0,0
156.97,2,0,101.0,0.0,0
155.04,394,0,0.01,0.0,0
9220.03,38,0,0.010891,0.0,0
127.2,2,0,0.0,0.0,0
6.0,170,0,0.006,0.0,0
0.0,1,0,4.99,0.0,0
20434.25,15,0,1.501669,0.0,0
0.0,1,0,0.113988,0.0,0
22.48,3,0,101.0,0.0,0
3908.74,49,0,0.0,0.0,0
0.0,1,0,1.409452,0.0,0
2298.48,49,0,0.01,0.0,0
0.0,0,1,0.0,0.0,0
162.28,2,0,0.1,0.0,0
22.52,3,0,101.0,0.0,0
0.0,0,1,0.0,0.0,0
23.46,3,0,15.831176,0.0,0
0.0,0,1,1.363896,0.0,0
52.91,6,0,49.240903,0.0,0
0.0,0,0,0.002049,0.0,0
102.19,3,0,101.0,0.0,0
0.0,0,1,0.0,0.0,0
0.0,1,0,0.095,0.0,0
1910.63,3,0,0.114302,0.0,0
0.0,0,1,0.0,0.0,0
3093.64,15,0,0.010974,0.0,0
108.84,3,0,2.706802,0.0,0
47.16,2,0,0.25,0.0,0
0.0,0,1,0.0,0.0,0
0.0,1,0,0.001861,0.0,0
0.0,1,0,0.000559,0.0,0
0.0,1,0,0.145868,0.0,0
0.0,0,1,0.0,0.0,0
1.56,3,0,98.731509,0.0,0
0.86,2,0,0.362477,0.0,0
37.82,5102,0,0.0,0.0,0
0.0,1,0,4.0,0.0,0
4860.24,145,0,0.0,0.0,0
0.0,0,1,0.0,0.0,0
0.0,1,0,3.0,0.0,0
0.0,0,1,0.0,0.0,0
161.39,2,0,48.822747,0.0,0
3.1,73,0,0.272317,0.0,0
3.87,11,0,0.331,0.0,0
0.0,0,1,0.0,0.0,0
0.0,0,1,0.0,0.0,0
161.55,2,0,23.657924,0.0,0
1.73,4,0,820.260972,0.0,0
17517.21,13,0,0.004066,0.0,0
0.0,1,0,20.80213,0.0,0
5.04,2,0,4.995,0.0,0
12684.38,34,0,0.001,0.0,0
157.89,2,0,101.0,0.0,0
13.29,147,0,0.010092,0.0,0
7.97,17,0,0.049039,0.0,0
3.26,9,0,0.29,0.0,0
24004.64,18,0,0.0,0.0,0
14.99,3,0,101.0,0.0,0
107.27,3,0,20.326687,0.0,0
0.0,0,1,0.0,0.0,0
1559.01,2,0,1.7e-05,0.0,0
15146.55,9,0,21.00144,0.0,0
2682.05,47,0,0.297,0.0,0
903.05,46,0,0.201072,0.0,0
0.0,0,1,0.0,0.0,0
4790.91,14,0,2.0,0.0,0
0.0,0,1,0.0,0.0,0
