a46,a3,a47,a23,a28,a45,a18,a20,a30,a24,Class
210,1007930.98,443,173.0,75.0,65.0,236,4701.669219,65.0,13662312.15,0
4,408109.47,3,0.0,0.0,0.0,2121,346.0164569,0.0,0.0,0
4,24.2,3,0.0,0.0,0.0,2,0.01,0.0,0.0,0
4,3.73,3,0.0,0.0,0.0,2,0.18071719,0.0,0.0,0
270,577697.67,465,1.0,1.0,1.0,98,42.31458197,1.0,1e-12,0
4,74.32,3,0.0,0.0,0.0,2,2.2,0.0,0.0,0
4,321.12,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,9.68,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
270,898837.57,363,2.0,2.0,2.0,208,107.6184304,2.0,8.02e-09,0
270,0.0,436,6.0,6.0,6.0,1,1.84447207,6.0,343.1194733,0
295,663716.47,352,24.0,14.0,17.0,25,6.39942711,17.0,1466.858839,0
4,95469.27,3,0.0,0.0,0.0,85,4.59120935,0.0,0.0,0
4,52953.02,3,0.0,0.0,0.0,17,1211.9614,0.0,0.0,0
4,314180.58,3,0.0,0.0,0.0,70,1.678830057,0.0,0.0,0
4,327.87,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
4,66.55,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
189,790629.43,453,19.0,14.0,17.0,435,1110.312284,17.0,312938.7241,0
4,10.03,3,0.0,0.0,0.0,2,2.44536818,0.0,0.0,0
270,585677.32,22,5.0,4.0,5.0,92,27.72145346,5.0,5.854699718,0
243,1610.6,381,5.0,2.0,2.0,3,0.018003663,2.0,882.377,0
4,21.48,3,0.0,0.0,0.0,2,1.09335951,0.0,0.0,0
270,658299.15,65,14.0,10.0,14.0,9,166.0286673,14.0,5308.870219,0
4,76156.38,3,0.0,0.0,0.0,9,5.625,0.0,0.0,0
270,228994.25,119,2.0,2.0,2.0,140,151.2160301,2.0,3.354770892,0
49,189102.7,79,3.0,2.0,2.0,14,48.8374,2.0,100.0000001,0
270,226758.45,119,2.0,2.0,2.0,57,29.9741884,2.0,1.525076004,0
270,338100.62,119,3.0,3.0,3.0,58,25.83669695,3.0,0.50507242,0
4,15.67,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
4,3.73,3,0.0,0.0,0.0,2,0.26987556,0.0,0.0,0
4,14.03,3,0.0,0.0,0.0,2,10.17205368,0.0,0.0,0
4,72.55,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
4,71.75,3,0.0,0.0,0.0,2,10.0,0.0,0.0,0
4,330.62,3,0.0,0.0,0.0,2,1.0,0.0,0.0,0
4,598.23,3,0.0,0.0,0.0,2,0.18,0.0,0.0,0
98,203015.42,154,73.0,3.0,3.0,188,3050.833773,3.0,58970.28387,0
4,332.73,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,2.8,3,0.0,0.0,0.0,2,64.867547,0.0,0.0,0
123,17157.67,202,5.0,1.0,1.0,5,0.19819913,1.0,126.2260224,0
4,791365.95,3,0.0,0.0,0.0,199,104.8997309,0.0,0.0,0
4,323.08,3,0.0,0.0,0.0,6,101.0,0.0,0.0,0
4,331.93,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,55167.15,3,0.0,0.0,0.0,48,277.0342855,0.0,0.0,0
4,575636.87,3,0.0,0.0,0.0,113,131.3774116,0.0,0.0,0
270,226777.48,308,1.0,1.0,1.0,31,26.80862106,1.0,0.980517247,0
4,48.88,3,0.0,0.0,0.0,2,0.2955,0.0,0.0,0
4,71.9,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
4,1.58,3,0.0,0.0,0.0,2,0.32940511,0.0,0.0,0
4,54.97,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
270,204962.67,308,4.0,4.0,4.0,25,1302.58,4.0,616.3971547,0
4,917999.92,3,0.0,0.0,0.0,20,4.11461982,0.0,0.0,0
4,61584.9,3,0.0,0.0,0.0,13128,45.0,0.0,0.0,0
146,681582.07,230,75.0,23.0,27.0,82,115.2543787,27.0,1845518.275,0
4,71.53,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
270,0.0,257,5.0,5.0,5.0,1,0.12641884,5.0,39.25158233,0
4,3.87,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
270,417584.63,65,11.0,10.0,11.0,10,360.545,11.0,9166.382878,0
270,68666.87,308,1.0,1.0,1.0,48,6.018639658,1.0,0.015662224,0
4,315.47,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
4,53.03,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
4,382.15,3,0.0,0.0,0.0,2,0.05,0.0,0.0,0
4,324.37,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
4,12.82,3,0.0,0.0,0.0,2,0.14254875,0.0,0.0,0
4,3.52,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
55,607484.77,95,11.0,6.0,5.0,14,6.49974161,5.0,99.9379237,0
4,2312.95,3,0.0,0.0,0.0,2,0.062141135,0.0,0.0,0
4,10.87,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
270,283913.38,119,2.0,2.0,2.0,84,66.53886848,2.0,1.816217033,0
4,5.8,3,0.0,0.0,0.0,2,0.1094,0.0,0.0,0
4,794993.12,3,0.0,0.0,0.0,8,13.11982281,0.0,0.0,0
4,199020.9,3,0.0,0.0,0.0,32,27.25442392,0.0,0.0,0
270,341341.32,308,1.0,1.0,1.0,7,0.59849623,1.0,0.0447812,0
4,327.12,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
98,710352.4,154,35.0,18.0,19.0,28,12.4752274,19.0,127361.4365,0
4,57.7,3,0.0,0.0,0.0,2,6.0,0.0,0.0,0
291,889416.88,345,21.0,12.0,17.0,13,19.22649206,17.0,12013.59284,0
270,323969.2,403,32.0,15.0,25.0,6,1.638,25.0,24681.71513,0
189,801929.58,308,3.0,2.0,2.0,64,307.4033737,2.0,601.0665275,0
270,226752.87,119,2.0,2.0,2.0,141,236.2253748,2.0,3.884870478,0
98,755957.72,154,101.0,27.0,28.0,110,1192.477393,28.0,636725.1577,0
4,3.87,3,0.0,0.0,0.0,5,2001.0,0.0,0.0,0
98,994303.05,154,141.0,60.0,58.0,184,307.0349073,60.0,712018.2797,0
270,254225.08,436,1.0,1.0,1.0,226,360.5789308,1.0,51.4567374,0
4,14650.52,3,0.0,0.0,0.0,8,127.549979,0.0,0.0,0
270,518476.32,119,2.0,2.0,2.0,170,39.48784328,2.0,1.960334547,0
123,955991.27,403,22.0,7.0,13.0,29,21.3063106,13.0,2971.184379,0
220,24563.1,349,7.0,3.0,3.0,21,15.31410258,3.0,241.2011022,0
4,16990.2,3,0.0,0.0,0.0,4,0.86687716,0.0,0.0,0
4,323.72,3,0.0,0.0,0.0,14,101.0,0.0,0.0,0
270,226771.23,119,3.0,3.0,3.0,88,81.8379298,3.0,3.721844893,0
4,321.02,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
263,980450.8,401,7.0,6.0,6.0,5075,209.0839809,6.0,1996.848229,0
270,116034.77,308,2.0,2.0,2.0,12,57.65614122,2.0,6.606344016,0
189,478627.65,119,4.0,3.0,3.0,867,3922.205556,3.0,533.2427416,0
4,74.15,3,0.0,0.0,0.0,5,101.0,0.0,0.0,0
123,443352.32,202,12.0,8.0,7.0,111,4.983953164,7.0,1139.211917,0
4,15909.2,3,0.0,0.0,0.0,3,2.59460479,0.0,0.0,0
220,10046.77,349,6.0,3.0,3.0,32,11.8521,3.0,147.2118061,0
4,330.63,3,0.0,0.0,0.0,6,101.0,0.0,0.0,0
4,326.65,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
270,291475.3,119,2.0,2.0,2.0,44,31.79330035,2.0,1.457833166,0
278,1026242.37,15,164.0,57.0,53.0,393,3218.743692,55.0,10102709.83,0
4,55.38,3,0.0,0.0,0.0,2,25.39880211,0.0,0.0,0
4,316.65,3,0.0,0.0,0.0,3,101.0,0.0,0.0,0
4,331.1,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
210,1542761.22,336,19.0,2.0,2.0,115,4249.020441,2.0,34871.92988,0
4,9.2,3,0.0,0.0,0.0,2,2.0801859,0.0,0.0,0
4,2597.05,3,0.0,0.0,0.0,5,33.9724061,0.0,0.0,0
270,193608.57,308,1.0,1.0,1.0,120,81.76654211,1.0,1.35787549,0
154,990952.88,401,17.0,11.0,14.0,228,101.9653841,14.0,2614.14842,0
270,298210.97,11,1.0,1.0,1.0,172,1400.990629,1.0,600.0,0
4,326.93,3,0.0,0.0,0.0,4,101.0,0.0,0.0,0
